style_id,style_name,category,price_level,true_state,base_popularity
S0127,Nail Style 0127,gradient,mid,HotUp,248.696
S0128,Nail Style 0128,handpaint,mid,ColdDown,47.05
S0129,Nail Style 0129,solid,low,Cold_AfterTryon,30.853
S0130,Nail Style 0130,french,mid,Stable,67.043
S0131,Nail Style 0131,cat_eye,mid,Stable,46.167
S0132,Nail Style 0132,french,mid,Cold_FirstLook,235.424
S0133,Nail Style 0133,solid,mid,Stable,296.105
S0134,Nail Style 0134,rhinestone,mid,Stable,71.223
S0135,Nail Style 0135,handpaint,mid,Cold_AfterWant,43.759
S0136,Nail Style 0136,gradient,mid,ColdDown,125.326
S0137,Nail Style 0137,solid,high,Stable,103.419
S0138,Nail Style 0138,handpaint,low,Potential,36.258
S0139,Nail Style 0139,gradient,high,Cold_Detail,120.803
S0140,Nail Style 0140,solid,mid,Potential,7.941
S0141,Nail Style 0141,handpaint,mid,Cold_Detail,109.838
S0142,Nail Style 0142,gradient,mid,Cold_FirstLook,64.889
S0143,Nail Style 0143,french,mid,Cold_FirstLook,19.078
S0144,Nail Style 0144,rhinestone,low,Stable,102.053
S0145,Nail Style 0145,cat_eye,high,Cold_AfterWant,52.794
S0146,Nail Style 0146,rhinestone,mid,Stable,112.423
S0147,Nail Style 0147,gradient,mid,Cold_AfterWant,96.818
S0148,Nail Style 0148,rhinestone,low,Stable,155.292
S0149,Nail Style 0149,french,mid,Stable,42.605
S0150,Nail Style 0150,handpaint,high,Stable,159.912
S0151,Nail Style 0151,cat_eye,high,Cold_Detail,325.724
S0152,Nail Style 0152,gradient,mid,Cold_FirstLook,25.278
S0153,Nail Style 0153,solid,mid,Cold_AfterTryon,64.104
S0154,Nail Style 0154,gradient,mid,Cold_FirstLook,79.387
S0155,Nail Style 0155,handpaint,low,Cold_AfterTryon,60.228
S0156,Nail Style 0156,french,mid,Cold_FirstLook,214.749
S0157,Nail Style 0157,solid,mid,Stable,80.179
S0158,Nail Style 0158,solid,mid,Cold_Detail,63.686
S0159,Nail Style 0159,handpaint,low,ColdDown,44.272
S0160,Nail Style 0160,gradient,low,Stable,118.899
S0161,Nail Style 0161,solid,mid,HotUp,389.284
S0162,Nail Style 0162,rhinestone,high,ColdDown,62.916
S0163,Nail Style 0163,handpaint,low,Cold_Detail,140.522
S0164,Nail Style 0164,gradient,mid,Cold_AfterWant,373.27
S0165,Nail Style 0165,cat_eye,low,HotUp,144.682
S0166,Nail Style 0166,gradient,mid,Cold_Detail,169.977
S0167,Nail Style 0167,french,high,Stable,111.528
S0168,Nail Style 0168,gradient,low,HotUp,106.233
S0169,Nail Style 0169,cat_eye,mid,ColdDown,41.62
S0170,Nail Style 0170,french,mid,Stable,90.049
S0171,Nail Style 0171,cat_eye,mid,Untested,3.959
S0172,Nail Style 0172,gradient,low,Stable,99.34
S0173,Nail Style 0173,handpaint,high,HotUp,117.117
S0174,Nail Style 0174,gradient,mid,Stable,10.306
S0175,Nail Style 0175,solid,low,Cold_FirstLook,195.029
S0176,Nail Style 0176,french,mid,Potential,12.332
S0177,Nail Style 0177,french,high,Stable,266.945
S0178,Nail Style 0178,gradient,low,Cold_FirstLook,113.248
S0179,Nail Style 0179,french,high,Cold_Detail,98.377
S0180,Nail Style 0180,handpaint,high,Cold_Detail,254.399
S0181,Nail Style 0181,french,low,Stable,53.48
S0182,Nail Style 0182,gradient,low,Stable,129.731
S0183,Nail Style 0183,rhinestone,mid,ColdDown,174.185
S0184,Nail Style 0184,solid,high,Stable,204.324
S0185,Nail Style 0185,gradient,high,ColdDown,68.613
S0186,Nail Style 0186,french,mid,Stable,105.373
S0187,Nail Style 0187,cat_eye,mid,Cold_FirstLook,129.978
S0188,Nail Style 0188,cat_eye,low,Cold_Detail,42.7
S0189,Nail Style 0189,french,mid,HotUp,113.388
S0190,Nail Style 0190,french,mid,Cold_FirstLook,189.002
S0191,Nail Style 0191,rhinestone,mid,HotUp,140.61
S0192,Nail Style 0192,french,mid,Cold_AfterTryon,53.618
S0193,Nail Style 0193,solid,mid,Stable,143.592
S0194,Nail Style 0194,handpaint,mid,Stable,119.337
S0195,Nail Style 0195,gradient,mid,Stable,64.542
S0196,Nail Style 0196,gradient,high,Stable,144.356
S0197,Nail Style 0197,french,low,Cold_FirstLook,99.123
S0198,Nail Style 0198,gradient,high,Cold_Detail,78.278
S0199,Nail Style 0199,cat_eye,mid,Stable,338.258
S0200,Nail Style 0200,gradient,high,Stable,153.537
S0201,Nail Style 0201,gradient,mid,Cold_Detail,183.64
S0202,Nail Style 0202,cat_eye,high,Potential,10.403
S0203,Nail Style 0203,rhinestone,mid,ColdDown,92.56
S0204,Nail Style 0204,cat_eye,high,Cold_Detail,221.896
S0205,Nail Style 0205,french,mid,Cold_AfterTryon,44.042
S0206,Nail Style 0206,cat_eye,low,Stable,383.492
S0207,Nail Style 0207,rhinestone,mid,Stable,108.527
S0208,Nail Style 0208,cat_eye,mid,Cold_AfterWant,108.622
S0209,Nail Style 0209,rhinestone,low,Cold_Detail,52.034
S0210,Nail Style 0210,cat_eye,mid,HotUp,213.808
S0211,Nail Style 0211,cat_eye,high,Cold_AfterTryon,40.571
S0212,Nail Style 0212,handpaint,low,ColdDown,149.665
S0213,Nail Style 0213,gradient,low,Stable,382.225
S0214,Nail Style 0214,handpaint,mid,Stable,69.575
S0215,Nail Style 0215,handpaint,low,Cold_AfterTryon,25.428
S0216,Nail Style 0216,rhinestone,low,Cold_AfterTryon,88.261
S0217,Nail Style 0217,cat_eye,low,Untested,4.458
S0218,Nail Style 0218,rhinestone,low,Cold_AfterWant,89.686
S0219,Nail Style 0219,handpaint,mid,ColdDown,100.449
S0220,Nail Style 0220,handpaint,mid,Cold_AfterWant,110.254
S0221,Nail Style 0221,french,mid,Stable,140.294
S0222,Nail Style 0222,cat_eye,high,Stable,143.424
S0223,Nail Style 0223,french,mid,Stable,118.137
S0224,Nail Style 0224,rhinestone,low,Cold_FirstLook,106.47
S0225,Nail Style 0225,handpaint,high,Cold_Detail,16.946
S0226,Nail Style 0226,gradient,high,Cold_FirstLook,58.964
S0227,Nail Style 0227,cat_eye,mid,Cold_AfterWant,95.521
S0228,Nail Style 0228,rhinestone,low,Stable,62.558
S0229,Nail Style 0229,rhinestone,high,Potential,27.38
S0230,Nail Style 0230,french,mid,Cold_Detail,189.128
S0231,Nail Style 0231,gradient,high,Cold_AfterTryon,70.192
S0232,Nail Style 0232,rhinestone,mid,Stable,78.596
S0233,Nail Style 0233,handpaint,low,Cold_Detail,190.061
S0234,Nail Style 0234,rhinestone,mid,Cold_AfterWant,100.596
S0235,Nail Style 0235,handpaint,mid,Cold_AfterWant,63.302
S0236,Nail Style 0236,cat_eye,mid,Stable,71.326
S0237,Nail Style 0237,rhinestone,mid,Cold_Detail,125.044
S0238,Nail Style 0238,solid,mid,Potential,20.635
S0239,Nail Style 0239,solid,low,HotUp,142.015
S0240,Nail Style 0240,handpaint,mid,Cold_FirstLook,71.889
S0241,Nail Style 0241,rhinestone,mid,ColdDown,196.219
S0242,Nail Style 0242,cat_eye,mid,HotUp,263.725
S0243,Nail Style 0243,french,low,Cold_AfterTryon,99.455
S0244,Nail Style 0244,cat_eye,low,HotUp,44.993
S0245,Nail Style 0245,solid,high,Cold_AfterTryon,66.047
S0246,Nail Style 0246,handpaint,low,ColdDown,161.907
S0247,Nail Style 0247,rhinestone,mid,Potential,16.889
S0248,Nail Style 0248,french,low,ColdDown,111.588
S0249,Nail Style 0249,gradient,high,ColdDown,92.373
S0250,Nail Style 0250,rhinestone,low,ColdDown,252.089
S0251,Nail Style 0251,solid,low,Cold_AfterWant,210.839
S0252,Nail Style 0252,cat_eye,mid,HotUp,142.092
S0253,Nail Style 0253,cat_eye,low,Cold_FirstLook,41.365
S0254,Nail Style 0254,rhinestone,low,Stable,201.254
S0255,Nail Style 0255,french,mid,Cold_AfterTryon,33.052
S0256,Nail Style 0256,handpaint,high,ColdDown,164.445
S0257,Nail Style 0257,cat_eye,low,Cold_AfterTryon,353.069
S0258,Nail Style 0258,french,mid,Cold_FirstLook,105.197
S0259,Nail Style 0259,rhinestone,low,HotUp,78.758
S0260,Nail Style 0260,french,mid,Potential,48.358
S0261,Nail Style 0261,solid,low,Stable,226.667
S0262,Nail Style 0262,cat_eye,mid,ColdDown,179.18
S0263,Nail Style 0263,handpaint,mid,Cold_AfterTryon,86.223
S0264,Nail Style 0264,handpaint,high,Cold_FirstLook,354.721
S0265,Nail Style 0265,cat_eye,low,Cold_Detail,259.003
S0266,Nail Style 0266,cat_eye,high,Cold_Detail,79.337
S0267,Nail Style 0267,solid,mid,Potential,23.742
S0268,Nail Style 0268,handpaint,mid,Stable,190.307
S0269,Nail Style 0269,cat_eye,mid,Untested,7.648
S0270,Nail Style 0270,cat_eye,high,Stable,64.345
S0271,Nail Style 0271,french,mid,Potential,6.338
S0272,Nail Style 0272,french,high,Untested,4.636
S0273,Nail Style 0273,rhinestone,mid,Stable,238.794
S0274,Nail Style 0274,gradient,mid,Cold_Detail,253.713
S0275,Nail Style 0275,rhinestone,mid,Stable,77.779
S0276,Nail Style 0276,handpaint,low,Stable,152.718
S0277,Nail Style 0277,rhinestone,high,Potential,7.775
S0278,Nail Style 0278,cat_eye,mid,Cold_FirstLook,103.407
S0279,Nail Style 0279,cat_eye,high,Cold_Detail,168.566
S0280,Nail Style 0280,solid,high,Cold_AfterTryon,44.232
S0281,Nail Style 0281,gradient,mid,Stable,72.517
S0282,Nail Style 0282,rhinestone,low,Stable,23.215
S0283,Nail Style 0283,handpaint,low,Cold_AfterTryon,87.007
S0284,Nail Style 0284,solid,high,Cold_AfterWant,307.95
S0285,Nail Style 0285,solid,mid,Cold_FirstLook,109.858
S0286,Nail Style 0286,gradient,mid,HotUp,67.765
S0287,Nail Style 0287,cat_eye,mid,Stable,58.844
S0288,Nail Style 0288,handpaint,high,Cold_AfterTryon,250.867
S0289,Nail Style 0289,gradient,mid,ColdDown,59.283
S0290,Nail Style 0290,french,low,Stable,135.245
S0291,Nail Style 0291,cat_eye,mid,Potential,19.859
S0292,Nail Style 0292,cat_eye,high,Stable,72.389
S0293,Nail Style 0293,french,low,Cold_AfterTryon,119.126
S0294,Nail Style 0294,cat_eye,mid,HotUp,117.935
S0295,Nail Style 0295,handpaint,mid,Stable,63.786
S0296,Nail Style 0296,handpaint,mid,Untested,10.179
S0297,Nail Style 0297,rhinestone,mid,Untested,20.049
S0298,Nail Style 0298,handpaint,high,Stable,139.119
S0299,Nail Style 0299,rhinestone,mid,ColdDown,215.039
S0300,Nail Style 0300,cat_eye,mid,Cold_FirstLook,90.487
