date,style_id,category,price_level,true_state,view_uv,detail_uv,tryon_uv,tryon_result_uv,want_uv,want_after_tryon_uv,confirm_direct_uv,confirm_detail_uv,confirm_after_tryon_uv,confirm_from_want_uv,total_confirm_uv
2026-03-05,S0001,rhinestone,low,Stable,92,31,29,24,10,0,2,2,2,2,8
2026-03-06,S0001,rhinestone,low,Stable,143,36,44,37,25,2,3,1,6,3,13
2026-03-07,S0001,rhinestone,low,Stable,171,56,45,37,27,4,12,3,6,6,27
2026-03-08,S0001,rhinestone,low,Stable,233,49,64,58,33,2,5,1,9,7,22
2026-03-09,S0001,rhinestone,low,Stable,151,35,47,43,23,4,8,2,4,3,17
2026-03-10,S0001,rhinestone,low,Stable,219,70,70,65,44,11,8,3,9,5,25
2026-03-11,S0001,rhinestone,low,Stable,196,55,43,37,29,6,3,2,10,6,21
2026-03-12,S0001,rhinestone,low,Stable,148,28,30,27,24,1,7,4,4,2,17
2026-03-13,S0001,rhinestone,low,Stable,120,32,24,22,12,2,4,2,4,2,12
2026-03-14,S0001,rhinestone,low,Stable,133,37,40,33,25,2,2,2,7,3,14
2026-03-15,S0001,rhinestone,low,Stable,135,52,44,36,27,5,2,3,6,3,14
2026-03-16,S0001,rhinestone,low,Stable,169,53,43,38,32,2,5,3,5,6,19
2026-03-17,S0001,rhinestone,low,Stable,99,36,26,20,12,2,2,1,6,1,10
2026-03-18,S0001,rhinestone,low,Stable,194,49,34,26,37,1,15,2,5,8,30
2026-03-19,S0001,rhinestone,low,Stable,133,39,38,34,30,4,8,4,6,6,24
2026-03-20,S0001,rhinestone,low,Stable,109,31,29,26,18,2,5,1,4,2,12
2026-03-21,S0001,rhinestone,low,Stable,186,69,53,49,39,8,10,4,9,10,33
2026-03-22,S0001,rhinestone,low,Stable,155,61,46,41,42,10,4,2,10,4,20
2026-03-23,S0001,rhinestone,low,Stable,146,41,26,24,22,1,5,1,2,3,11
2026-03-24,S0001,rhinestone,low,Stable,127,40,27,25,21,3,2,1,8,6,17
2026-03-25,S0001,rhinestone,low,Stable,85,27,20,16,9,1,2,3,3,1,9
2026-03-26,S0001,rhinestone,low,Stable,141,50,34,30,31,5,3,3,5,4,15
2026-03-27,S0001,rhinestone,low,Stable,114,32,33,30,29,4,2,0,4,6,12
2026-03-28,S0001,rhinestone,low,Stable,158,35,45,39,18,1,11,2,9,3,25
2026-03-29,S0001,rhinestone,low,Stable,116,32,32,31,20,2,3,2,7,3,15
2026-03-30,S0001,rhinestone,low,Stable,118,28,31,29,14,2,9,1,4,1,15
2026-03-31,S0001,rhinestone,low,Stable,121,46,36,33,28,5,1,1,3,1,6
2026-04-01,S0001,rhinestone,low,Stable,133,44,31,28,19,2,8,2,5,2,17
2026-04-02,S0001,rhinestone,low,Stable,133,30,34,32,20,6,5,1,6,2,14
2026-04-03,S0001,rhinestone,low,Stable,204,56,53,49,41,6,8,2,3,6,19
2026-04-04,S0001,rhinestone,low,Stable,227,74,55,51,37,3,8,5,9,6,28
2026-04-05,S0001,rhinestone,low,Stable,150,50,40,34,25,3,3,0,7,2,12
2026-04-06,S0001,rhinestone,low,Stable,117,28,28,27,18,3,11,1,5,3,20
2026-04-07,S0001,rhinestone,low,Stable,238,61,64,60,41,5,8,3,8,4,23
2026-04-08,S0001,rhinestone,low,Stable,149,48,48,41,29,7,2,1,8,5,16
2026-04-09,S0001,rhinestone,low,Stable,188,52,52,47,42,7,6,3,4,9,22
2026-04-10,S0001,rhinestone,low,Stable,94,34,27,24,25,2,1,0,1,3,5
2026-04-11,S0001,rhinestone,low,Stable,216,71,52,45,41,6,8,3,4,7,22
2026-04-12,S0001,rhinestone,low,Stable,190,56,45,40,26,2,11,5,6,8,30
2026-04-13,S0001,rhinestone,low,Stable,167,61,49,44,28,4,3,2,3,2,10
2026-04-14,S0001,rhinestone,low,Stable,163,52,52,49,27,7,5,0,7,1,13
2026-04-15,S0001,rhinestone,low,Stable,168,49,44,37,30,4,5,2,6,6,19
2026-04-16,S0001,rhinestone,low,Stable,93,23,33,30,14,3,6,1,1,3,11
2026-04-17,S0001,rhinestone,low,Stable,119,36,28,27,8,1,4,0,5,2,11
2026-04-18,S0001,rhinestone,low,Stable,152,51,28,23,22,0,1,7,3,5,16
2026-04-19,S0001,rhinestone,low,Stable,162,39,50,44,23,1,6,2,12,1,21
2026-04-20,S0001,rhinestone,low,Stable,176,45,46,44,28,5,9,3,11,4,27
2026-04-21,S0001,rhinestone,low,Stable,229,66,57,53,40,8,5,3,8,6,22
2026-04-22,S0001,rhinestone,low,Stable,159,52,36,33,26,3,3,4,2,2,11
2026-04-23,S0001,rhinestone,low,Stable,157,51,39,38,23,4,3,2,8,3,16
2026-04-24,S0001,rhinestone,low,Stable,101,23,25,22,21,3,5,1,3,2,11
2026-04-25,S0001,rhinestone,low,Stable,138,51,35,33,14,2,7,0,9,2,18
2026-04-26,S0001,rhinestone,low,Stable,121,32,38,36,17,0,6,1,7,3,17
2026-04-27,S0001,rhinestone,low,Stable,124,33,37,34,18,2,3,0,5,1,9
2026-04-28,S0001,rhinestone,low,Stable,174,38,42,37,30,3,5,2,7,2,16
2026-04-29,S0001,rhinestone,low,Stable,114,32,26,23,20,6,1,1,1,3,6
2026-04-30,S0001,rhinestone,low,Stable,110,34,33,31,24,3,6,1,3,5,15
2026-01-01,S0002,gradient,high,HotUp,169,59,50,45,62,18,11,7,7,14,39
2026-01-02,S0002,gradient,high,HotUp,194,70,66,60,89,28,18,7,4,21,50
2026-01-03,S0002,gradient,high,HotUp,264,103,83,72,103,37,22,12,13,20,67
2026-01-04,S0002,gradient,high,HotUp,221,74,85,76,94,31,15,4,15,22,56
2026-01-05,S0002,gradient,high,HotUp,174,68,49,45,59,23,12,3,8,11,34
2026-01-06,S0002,gradient,high,HotUp,132,57,45,41,47,14,9,4,7,8,28
2026-01-07,S0002,gradient,high,HotUp,269,104,91,83,109,32,17,9,14,25,65
2026-01-08,S0002,gradient,high,HotUp,164,47,49,44,72,14,8,1,12,17,38
2026-01-09,S0002,gradient,high,HotUp,213,89,58,52,79,23,10,9,6,17,42
2026-01-10,S0002,gradient,high,HotUp,183,71,60,56,81,25,6,4,14,21,45
2026-01-11,S0002,gradient,high,HotUp,164,60,42,36,57,19,10,2,9,13,34
2026-01-12,S0002,gradient,high,HotUp,145,50,54,50,51,19,9,5,6,11,31
2026-01-13,S0002,gradient,high,HotUp,211,78,68,54,89,19,17,3,8,15,43
2026-01-14,S0002,gradient,high,HotUp,184,63,52,44,67,30,11,1,5,17,34
2026-01-15,S0002,gradient,high,HotUp,215,80,64,60,107,36,13,8,6,34,61
2026-01-16,S0002,gradient,high,HotUp,233,66,72,64,80,25,21,11,8,13,53
2026-01-17,S0002,gradient,high,HotUp,217,74,66,56,80,23,18,7,5,15,45
2026-01-18,S0002,gradient,high,HotUp,190,63,63,54,65,24,23,4,7,12,46
2026-01-19,S0002,gradient,high,HotUp,165,49,61,55,63,18,12,7,10,9,38
2026-01-20,S0002,gradient,high,HotUp,207,55,62,54,94,29,17,3,12,25,57
2026-01-21,S0002,gradient,high,HotUp,266,113,83,72,95,25,19,10,13,26,68
2026-01-22,S0002,gradient,high,HotUp,229,105,51,49,84,22,18,5,9,18,50
2026-01-23,S0002,gradient,high,HotUp,185,74,78,71,91,25,12,6,13,30,61
2026-01-24,S0002,gradient,high,HotUp,251,92,85,74,88,32,18,8,4,27,57
2026-01-25,S0002,gradient,high,HotUp,244,76,81,77,81,30,12,1,14,18,45
2026-01-26,S0002,gradient,high,HotUp,278,97,87,77,100,27,20,9,13,20,62
2026-01-27,S0002,gradient,high,HotUp,165,49,41,37,54,11,9,3,4,12,28
2026-01-28,S0002,gradient,high,HotUp,176,57,54,51,73,24,11,4,11,18,44
2026-01-29,S0002,gradient,high,HotUp,261,81,92,80,105,40,14,6,14,29,63
2026-01-30,S0002,gradient,high,HotUp,197,81,73,67,78,32,16,6,15,17,54
2026-01-31,S0002,gradient,high,HotUp,431,130,149,132,213,66,27,19,22,46,114
2026-02-01,S0002,gradient,high,HotUp,323,116,111,99,132,45,24,9,9,25,67
2026-02-02,S0002,gradient,high,HotUp,270,97,89,80,112,49,7,9,10,23,49
2026-02-03,S0002,gradient,high,HotUp,290,70,114,103,112,40,12,4,10,15,41
2026-02-04,S0002,gradient,high,HotUp,254,75,74,68,87,28,15,3,10,21,49
2026-02-05,S0002,gradient,high,HotUp,197,63,51,43,80,21,14,3,8,27,52
2026-02-06,S0002,gradient,high,HotUp,233,77,69,63,86,30,16,5,5,19,45
2026-02-07,S0002,gradient,high,HotUp,310,121,96,83,114,36,17,8,14,30,69
2026-02-08,S0002,gradient,high,HotUp,367,135,95,87,133,38,23,6,19,25,73
2026-02-09,S0002,gradient,high,HotUp,407,151,145,127,110,35,20,6,31,32,89
2026-02-10,S0002,gradient,high,HotUp,238,72,77,73,78,27,25,6,7,18,56
2026-02-11,S0002,gradient,high,HotUp,239,87,73,69,76,24,15,5,11,26,57
2026-02-12,S0002,gradient,high,HotUp,282,90,103,91,115,40,22,4,20,29,75
2026-02-13,S0002,gradient,high,HotUp,210,73,65,60,84,30,20,4,9,15,48
2026-02-14,S0002,gradient,high,HotUp,328,119,120,113,128,37,13,8,15,44,80
2026-02-15,S0002,gradient,high,HotUp,414,150,107,96,162,47,25,15,13,38,91
2026-02-16,S0002,gradient,high,HotUp,227,78,55,48,96,21,20,6,5,20,51
2026-02-17,S0002,gradient,high,HotUp,212,79,62,52,56,21,12,8,11,10,41
2026-02-18,S0002,gradient,high,HotUp,421,165,153,134,192,61,24,13,24,36,97
2026-02-19,S0002,gradient,high,HotUp,319,109,124,108,110,54,14,5,16,31,66
2026-02-20,S0002,gradient,high,HotUp,279,104,80,70,85,21,16,8,3,22,49
2026-02-21,S0002,gradient,high,HotUp,318,90,86,78,107,30,17,4,17,26,64
2026-02-22,S0002,gradient,high,HotUp,529,163,165,141,210,59,35,9,27,55,126
2026-02-23,S0002,gradient,high,HotUp,204,71,70,64,64,20,13,3,10,10,36
2026-02-24,S0002,gradient,high,HotUp,360,145,109,97,120,35,29,8,21,29,87
2026-02-25,S0002,gradient,high,HotUp,366,118,136,122,190,63,31,12,18,52,113
2026-02-26,S0002,gradient,high,HotUp,433,172,117,105,193,48,30,9,12,55,106
2026-02-27,S0002,gradient,high,HotUp,308,112,84,76,108,24,21,15,15,24,75
2026-02-28,S0002,gradient,high,HotUp,278,104,81,71,103,38,19,10,11,28,68
2026-03-01,S0002,gradient,high,HotUp,437,172,164,144,154,57,24,13,34,35,106
2026-03-02,S0002,gradient,high,HotUp,352,122,123,110,146,48,28,7,15,34,84
2026-03-03,S0002,gradient,high,HotUp,329,129,122,116,127,43,22,8,20,33,83
2026-03-04,S0002,gradient,high,HotUp,341,122,103,96,160,55,22,10,21,31,84
2026-03-05,S0002,gradient,high,HotUp,336,158,116,104,151,47,24,17,19,31,91
2026-03-06,S0002,gradient,high,HotUp,285,87,96,86,90,35,21,6,9,24,60
2026-03-07,S0002,gradient,high,HotUp,434,168,175,160,178,70,33,11,24,41,109
2026-03-08,S0002,gradient,high,HotUp,250,100,99,91,89,25,11,6,17,15,49
2026-03-09,S0002,gradient,high,HotUp,371,123,115,102,126,40,29,7,17,30,83
2026-03-10,S0002,gradient,high,HotUp,592,252,212,187,242,84,34,18,41,60,153
2026-03-11,S0002,gradient,high,HotUp,268,117,114,102,116,51,24,11,10,29,74
2026-03-12,S0002,gradient,high,HotUp,409,150,128,112,175,58,27,10,22,38,97
2026-03-13,S0002,gradient,high,HotUp,309,102,102,92,113,34,11,12,19,25,67
2026-03-14,S0002,gradient,high,HotUp,454,161,128,117,199,40,25,16,20,40,101
2026-03-15,S0002,gradient,high,HotUp,626,190,196,178,241,83,38,21,35,56,150
2026-03-16,S0002,gradient,high,HotUp,377,148,159,148,168,66,23,12,23,37,95
2026-03-17,S0002,gradient,high,HotUp,343,112,142,128,154,61,18,13,19,32,82
2026-03-18,S0002,gradient,high,HotUp,566,237,183,162,216,74,38,19,14,62,133
2026-03-19,S0002,gradient,high,HotUp,427,148,132,118,128,32,30,10,17,28,85
2026-03-20,S0002,gradient,high,HotUp,231,67,100,92,92,35,15,10,21,23,69
2026-03-21,S0002,gradient,high,HotUp,382,111,102,92,134,42,32,8,9,44,93
2026-03-22,S0002,gradient,high,HotUp,502,190,195,178,202,80,27,18,27,57,129
2026-03-23,S0002,gradient,high,HotUp,368,130,150,135,142,59,22,10,22,42,96
2026-03-24,S0002,gradient,high,HotUp,324,109,106,98,118,43,26,9,12,33,80
2026-03-25,S0002,gradient,high,HotUp,462,176,182,158,194,74,30,7,28,54,119
2026-03-26,S0002,gradient,high,HotUp,410,144,131,123,184,55,27,12,20,44,103
2026-03-27,S0002,gradient,high,HotUp,362,136,122,107,160,54,27,8,12,37,84
2026-03-28,S0002,gradient,high,HotUp,447,145,169,150,152,60,25,9,21,29,84
2026-03-29,S0002,gradient,high,HotUp,604,245,190,168,211,73,34,14,23,44,115
2026-03-30,S0002,gradient,high,HotUp,335,116,111,100,127,47,21,9,22,29,81
2026-03-31,S0002,gradient,high,HotUp,428,152,164,146,169,76,32,12,29,42,115
2026-04-01,S0002,gradient,high,HotUp,300,92,91,84,126,35,21,12,13,30,76
2026-04-02,S0002,gradient,high,HotUp,384,157,120,102,150,51,32,14,19,30,95
2026-04-03,S0002,gradient,high,HotUp,504,189,183,160,199,65,32,12,29,45,118
2026-04-04,S0002,gradient,high,HotUp,388,129,139,120,178,56,24,16,16,50,106
2026-04-05,S0002,gradient,high,HotUp,520,180,192,180,191,74,27,9,28,32,96
2026-04-06,S0002,gradient,high,HotUp,456,161,128,114,152,50,24,15,18,37,94
2026-04-07,S0002,gradient,high,HotUp,400,153,136,117,152,50,21,14,24,44,103
2026-04-08,S0002,gradient,high,HotUp,453,174,157,146,159,51,28,8,17,33,86
2026-04-09,S0002,gradient,high,HotUp,405,168,136,126,189,49,25,14,22,36,97
2026-04-10,S0002,gradient,high,HotUp,436,165,171,148,174,56,21,12,27,51,111
2026-04-11,S0002,gradient,high,HotUp,546,192,156,141,207,69,28,13,33,50,124
2026-04-12,S0002,gradient,high,HotUp,726,268,289,266,340,124,39,13,28,79,159
2026-04-13,S0002,gradient,high,HotUp,697,237,199,180,327,89,41,16,30,92,179
2026-04-14,S0002,gradient,high,HotUp,348,117,117,106,137,41,24,11,20,32,87
2026-04-15,S0002,gradient,high,HotUp,334,97,107,102,142,50,29,7,15,41,92
2026-04-16,S0002,gradient,high,HotUp,402,159,141,133,169,57,28,11,22,39,100
2026-04-17,S0002,gradient,high,HotUp,525,172,146,129,207,59,36,13,23,48,120
2026-04-18,S0002,gradient,high,HotUp,431,152,113,99,155,45,19,13,20,36,88
2026-04-19,S0002,gradient,high,HotUp,422,173,147,133,158,57,31,11,22,46,110
2026-04-20,S0002,gradient,high,HotUp,681,260,226,207,236,76,47,18,37,66,168
2026-04-21,S0002,gradient,high,HotUp,619,234,222,199,231,91,44,21,27,61,153
2026-04-22,S0002,gradient,high,HotUp,586,195,168,156,241,75,39,18,32,65,154
2026-04-23,S0002,gradient,high,HotUp,414,163,128,113,153,58,29,7,24,39,99
2026-04-24,S0002,gradient,high,HotUp,393,129,160,149,148,61,26,10,23,39,98
2026-04-25,S0002,gradient,high,HotUp,463,150,159,143,180,54,36,8,17,52,113
2026-04-26,S0002,gradient,high,HotUp,660,231,229,202,245,100,52,14,31,50,147
2026-04-27,S0002,gradient,high,HotUp,483,155,185,174,209,76,29,4,30,56,119
2026-04-28,S0002,gradient,high,HotUp,698,239,213,190,249,91,50,20,33,61,164
2026-04-29,S0002,gradient,high,HotUp,500,172,184,163,216,74,32,7,25,48,112
2026-04-30,S0002,gradient,high,HotUp,587,209,171,156,211,67,41,24,29,50,144
2026-01-01,S0003,handpaint,low,Cold_AfterTryon,88,24,31,27,7,3,0,0,0,0,0
2026-01-02,S0003,handpaint,low,Cold_AfterTryon,133,15,46,42,8,1,5,1,0,0,6
2026-01-03,S0003,handpaint,low,Cold_AfterTryon,200,28,53,49,14,4,2,0,0,3,5
2026-01-04,S0003,handpaint,low,Cold_AfterTryon,95,28,28,26,3,0,0,1,1,0,2
2026-01-05,S0003,handpaint,low,Cold_AfterTryon,147,10,35,33,7,1,6,0,0,1,7
2026-01-06,S0003,handpaint,low,Cold_AfterTryon,139,28,33,30,15,3,2,0,0,1,3
2026-01-07,S0003,handpaint,low,Cold_AfterTryon,193,30,56,51,14,4,0,2,0,0,2
2026-01-08,S0003,handpaint,low,Cold_AfterTryon,221,41,79,73,14,3,0,2,1,1,4
2026-01-09,S0003,handpaint,low,Cold_AfterTryon,121,26,40,35,12,2,3,2,1,0,6
2026-01-10,S0003,handpaint,low,Cold_AfterTryon,106,22,19,17,4,0,2,1,0,0,3
2026-01-11,S0003,handpaint,low,Cold_AfterTryon,150,21,51,46,11,1,0,0,2,1,3
2026-01-12,S0003,handpaint,low,Cold_AfterTryon,113,18,38,33,5,1,0,0,0,0,0
2026-01-13,S0003,handpaint,low,Cold_AfterTryon,142,24,37,33,9,2,2,0,0,0,2
2026-01-14,S0003,handpaint,low,Cold_AfterTryon,73,12,20,19,7,0,1,0,0,0,1
2026-01-15,S0003,handpaint,low,Cold_AfterTryon,162,24,48,46,13,5,2,0,0,1,3
2026-01-16,S0003,handpaint,low,Cold_AfterTryon,115,21,40,33,10,3,0,0,0,0,0
2026-01-17,S0003,handpaint,low,Cold_AfterTryon,101,17,29,23,2,0,1,1,0,0,2
2026-01-18,S0003,handpaint,low,Cold_AfterTryon,145,30,40,34,9,2,0,1,0,1,2
2026-01-19,S0003,handpaint,low,Cold_AfterTryon,217,45,54,49,17,3,2,0,1,1,4
2026-01-20,S0003,handpaint,low,Cold_AfterTryon,118,24,45,42,9,1,1,0,1,1,3
2026-01-21,S0003,handpaint,low,Cold_AfterTryon,105,24,30,27,5,0,2,0,0,1,3
2026-01-22,S0003,handpaint,low,Cold_AfterTryon,126,18,38,36,11,1,0,0,0,1,1
2026-01-23,S0003,handpaint,low,Cold_AfterTryon,66,11,17,15,6,0,2,0,1,1,4
2026-01-24,S0003,handpaint,low,Cold_AfterTryon,127,30,43,41,8,1,0,1,1,1,3
2026-01-25,S0003,handpaint,low,Cold_AfterTryon,212,32,43,39,13,0,2,2,0,0,4
2026-01-26,S0003,handpaint,low,Cold_AfterTryon,141,27,36,33,14,2,5,1,1,2,9
2026-01-27,S0003,handpaint,low,Cold_AfterTryon,81,15,25,25,5,1,1,1,0,0,2
2026-01-28,S0003,handpaint,low,Cold_AfterTryon,91,20,24,23,4,0,1,0,0,0,1
2026-01-29,S0003,handpaint,low,Cold_AfterTryon,97,26,25,24,4,1,0,1,0,0,1
2026-01-30,S0003,handpaint,low,Cold_AfterTryon,103,22,25,24,8,0,1,0,0,0,1
2026-01-31,S0003,handpaint,low,Cold_AfterTryon,106,18,39,36,4,1,1,1,2,0,4
2026-02-01,S0003,handpaint,low,Cold_AfterTryon,147,31,33,28,7,0,3,0,1,0,4
2026-02-02,S0003,handpaint,low,Cold_AfterTryon,121,23,36,35,5,0,2,1,0,0,3
2026-02-03,S0003,handpaint,low,Cold_AfterTryon,149,29,44,40,19,4,4,1,0,2,7
2026-02-04,S0003,handpaint,low,Cold_AfterTryon,81,14,33,30,6,2,1,0,0,1,2
2026-02-05,S0003,handpaint,low,Cold_AfterTryon,209,40,74,64,16,2,3,1,1,2,7
2026-02-06,S0003,handpaint,low,Cold_AfterTryon,132,22,42,37,8,0,0,1,1,0,2
2026-02-07,S0003,handpaint,low,Cold_AfterTryon,104,23,31,31,7,3,0,0,2,4,6
2026-02-08,S0003,handpaint,low,Cold_AfterTryon,93,11,29,27,9,0,0,0,0,0,0
2026-02-09,S0003,handpaint,low,Cold_AfterTryon,107,16,29,26,5,0,3,0,0,0,3
2026-02-10,S0003,handpaint,low,Cold_AfterTryon,76,17,17,17,1,0,1,0,1,0,2
2026-02-11,S0003,handpaint,low,Cold_AfterTryon,69,13,27,26,1,0,3,1,0,0,4
2026-02-12,S0003,handpaint,low,Cold_AfterTryon,79,18,21,20,2,0,0,0,0,0,0
2026-02-13,S0003,handpaint,low,Cold_AfterTryon,140,21,44,39,5,0,2,1,1,0,4
2026-02-14,S0003,handpaint,low,Cold_AfterTryon,195,33,58,51,9,1,0,0,1,0,1
2026-02-15,S0003,handpaint,low,Cold_AfterTryon,167,28,58,53,12,1,2,1,1,2,6
2026-02-16,S0003,handpaint,low,Cold_AfterTryon,107,19,26,19,8,0,3,0,0,0,3
2026-02-17,S0003,handpaint,low,Cold_AfterTryon,170,37,77,70,13,1,0,0,1,1,2
2026-02-18,S0003,handpaint,low,Cold_AfterTryon,129,23,30,26,4,0,2,0,1,0,3
2026-02-19,S0003,handpaint,low,Cold_AfterTryon,109,17,42,38,4,1,0,0,0,0,0
2026-02-20,S0003,handpaint,low,Cold_AfterTryon,146,21,40,37,11,1,3,0,0,1,4
2026-02-21,S0003,handpaint,low,Cold_AfterTryon,160,21,58,55,12,3,2,0,2,1,5
2026-02-22,S0003,handpaint,low,Cold_AfterTryon,128,26,34,33,8,0,0,0,2,0,2
2026-02-23,S0003,handpaint,low,Cold_AfterTryon,116,18,31,29,8,2,0,0,1,3,4
2026-02-24,S0003,handpaint,low,Cold_AfterTryon,173,32,54,51,14,3,5,2,0,0,7
2026-02-25,S0003,handpaint,low,Cold_AfterTryon,86,20,26,26,5,1,1,0,0,0,1
2026-02-26,S0003,handpaint,low,Cold_AfterTryon,173,24,57,53,17,5,4,1,0,2,7
2026-02-27,S0003,handpaint,low,Cold_AfterTryon,157,28,42,38,6,1,2,1,0,1,4
2026-02-28,S0003,handpaint,low,Cold_AfterTryon,201,37,57,49,8,3,5,0,1,0,6
2026-03-01,S0003,handpaint,low,Cold_AfterTryon,131,30,43,38,6,1,3,1,0,0,4
